segment file,predicted label,Metric
09x4_0.png,0,0.8436107970071518
09x4_1.png,9,0.688399927000634
09x4_2.png,x,0.861126838780133
09x4_3.png,4,0.8088297871366625
2omd_0.png,2,0.7535005782619898
2omd_1.png,o,0.8279093959790724
2omd_2.png,m,0.8144603366176988
2omd_3.png,d,0.8695694086366684
5bfx_0.png,5,0.7270374064282621
5bfx_1.png,b,0.8595972925154923
5bfx_2.png,h,0.2947820501706217
7p4s_0.png,7,0.69605561077207
7p4s_1.png,p,0.786823981182868
7p4s_2.png,4,0.7906425051434713
7p4s_3.png,s,0.7417215803461563
8110_0.png,8,0.6997710842356657
8110_1.png,1,0.7684291018514761
8110_2.png,1,0.7843914698367277
8110_3.png,0,0.8369945769203773
8a2f_0.png,8,0.7227213678995805
8a2f_1.png,a,0.7252307621931907
8a2f_2.png,2,0.7592889408687616
8a2f_3.png,f,0.8265609533252022
b8sq_0.png,b,0.8848594012246004
b8sq_1.png,8,0.7237740419211145
b8sq_2.png,s,0.7160530997644644
b8sq_3.png,q,0.8417066061839146
bjet_0.png,b,0.850405151251371
bjet_1.png,1,0.6011492223815122
bjet_2.png,e,0.7611642020410843
bjet_3.png,t,0.733904795917007
cm28_0.png,c,0.8441185253918378
cm28_1.png,m,0.8008372680207927
cm28_2.png,2,0.7729951892349576
cm28_3.png,8,0.6193386406216072
g3a4_0.png,g,0.5131274733203381
g3a4_1.png,3,0.6691200644547183
g3a4_2.png,a,0.729269154681585
g3a4_3.png,4,0.8472505240807912
gzyi_0.png,g,0.5096662330982554
gzyi_1.png,z,0.8047106080542145
gzyi_2.png,y,0.8112845009739302
gzyi_3.png,6,0.17281952463816225
hks0_0.png,h,0.8689404604574168
hks0_1.png,k,0.7973581294456951
hks0_2.png,s,0.7333505012871423
hks0_3.png,0,0.7983296854083689
hmgn_0.png,h,0.8672393009484985
hmgn_1.png,m,0.8434032816105147
hmgn_2.png,g,0.51283748062305
hmgn_3.png,n,0.8137348686061857
iy0w_0.png,j,0.39488599250228623
iy0w_1.png,y,0.8243137957240114
iy0w_2.png,0,0.7880260851247272
iy0w_3.png,w,0.7798321539304923
jxa1_0.png,1,0.6655648316022402
jxa1_1.png,x,0.8541992418834857
jxa1_2.png,a,0.7194496274948421
jxa1_3.png,1,0.782830367788492
kgps_0.png,k,0.8119386349543576
kgps_1.png,g,0.5192965571984884
kgps_2.png,p,0.8527234817385445
kgps_3.png,s,0.7498432901331182
n3ud_0.png,n,0.8211371501723742
n3ud_1.png,3,0.6620315823699012
n3ud_2.png,u,0.87338522279791
n3ud_3.png,d,0.7761100505023066
s9u7_0.png,s,0.7568950604911984
s9u7_1.png,9,0.7411999224283476
s9u7_2.png,u,0.879079156169209
s9u7_3.png,7,0.7611063941730352
t04s_0.png,t,0.7199214597097047
t04s_1.png,0,0.7849197690126071
t04s_2.png,4,0.7904270171799335
t04s_3.png,s,0.7410665387969693
wl5g_0.png,w,0.7882454906922706
wl5g_1.png,6,0.18424331937417945
wl5g_2.png,5,0.7175386366190685
wl5g_3.png,g,0.5292417719401113
